DateTime,Open,High,Low,Close,Volume
2024-01-01 23:00:00,2064.593,2066.092,2063.301,2065.142,10
2024-01-01 23:15:00,2065.159,2065.9,2064.443,2064.698,15
2024-01-01 23:30:00,2064.664,2065.131,2063.634,2064.258,15
2024-01-01 23:45:00,2064.259,2064.259,2062.643,2063.543,14
2024-01-02 00:00:00,2063.347,2064.932,2063.331,2064.006,15
2024-01-02 00:15:00,2064.015,2064.393,2062.175,2063.323,15
2024-01-02 00:30:00,2063.323,2064.559,2062.831,2064.559,15
2024-01-02 00:45:00,2064.588,2065.762,2064.322,2065.34,15
2024-01-02 01:00:00,2065.341,2069.627,2064.87,2069.206,15
2024-01-02 01:15:00,2069.248,2069.9,2067.144,2068.403,15
2024-01-02 01:30:00,2068.308,2068.462,2066.869,2068.094,15
2024-01-02 01:45:00,2068.081,2068.951,2066.29,2066.536,15
2024-01-02 02:00:00,2066.512,2066.749,2063.891,2064.607,15
2024-01-02 02:15:00,2064.619,2066.983,2064.56,2066.596,15
2024-01-02 02:30:00,2066.597,2068.247,2065.657,2067.342,15
2024-01-02 02:45:00,2067.307,2068.267,2067.207,2067.669,15
2024-01-02 03:00:00,2067.693,2069.394,2066.422,2068.867,15
2024-01-02 03:15:00,2068.934,2069.863,2068.934,2069.631,15
2024-01-02 03:30:00,2069.589,2069.854,2069.295,2069.767,15
2024-01-02 03:45:00,2069.688,2070.338,2068.541,2069.487,15
2024-01-02 04:00:00,2069.492,2070.447,2069.117,2070.335,15
2024-01-02 04:15:00,2070.425,2070.666,2068.83,2069.339,15
2024-01-02 04:30:00,2069.342,2070.346,2069.342,2069.818,15
2024-01-02 04:45:00,2069.851,2070.108,2068.823,2069.5,15
2024-01-02 05:00:00,2069.567,2071.604,2069.37,2071.476,15
2024-01-02 05:15:00,2071.469,2071.832,2070.682,2071.357,15
2024-01-02 05:30:00,2071.353,2072.093,2070.682,2072.003,15
2024-01-02 05:45:00,2072.015,2074.8,2071.774,2074.31,15
2024-01-02 06:00:00,2074.307,2074.847,2072.839,2074.625,15
2024-01-02 06:15:00,2074.538,2076.639,2074.103,2075.661,15
2024-01-02 06:30:00,2075.742,2076.466,2074.654,2074.901,15
2024-01-02 06:45:00,2074.965,2075.12,2073.76,2074.144,15
2024-01-02 07:00:00,2074.077,2075.659,2073.231,2075.272,15
2024-01-02 07:15:00,2075.245,2076.358,2074.402,2075.115,15
2024-01-02 07:30:00,2075.123,2075.655,2074.565,2075.074,15
2024-01-02 07:45:00,2075.086,2075.406,2073.065,2073.065,15
2024-01-02 08:00:00,2073.13,2074.405,2072.216,2073.947,15
2024-01-02 08:15:00,2074.025,2074.062,2072.18,2072.588,15
2024-01-02 08:30:00,2072.588,2074.308,2071.7,2073.753,15
2024-01-02 08:45:00,2073.848,2073.874,2072.324,2073.216,15
2024-01-02 09:00:00,2073.276,2075.478,2073.184,2074.404,15
2024-01-02 09:15:00,2074.397,2075.471,2073.921,2074.596,15
2024-01-02 09:30:00,2074.54,2078.877,2074.54,2078.255,15
